poste,competences_requises,competences_candidat,experience_requise,experience_candidat,diplome_requis,diplome_candidat,langues_requises,langues_candidat,score_compatibilite
Developpeur Mobile,Kotlin; Firebase; Dart,Git; Flutter; Java; Kotlin; Asana; Laravel,2,4,Bac,Bac,Français (intermédiaire),Français (avancé),63.3
Graphiste,Branding; InDesign; Photoshop; Canva; Illustrator; Typographie,Aucune information,3,2,Bac,Licence,Français (avancé),Français (courant),38.3
Developpeur Web,JavaScript; PHP; Git; HTML/CSS; Laravel; MySQL,Laravel; MySQL; PHP; Git; JavaScript,2,3,Master,Master,Français (avancé),Français (courant),90.8
Social Media Manager,Analytics; TikTok; Facebook; Meta Ads,LinkedIn; TikTok; Instagram,2,6,Master,Bac,Français (courant),Français (courant); Anglais (intermédiaire),51.3
Social Media Manager,TikTok; Facebook; Instagram; Analytics; LinkedIn; Meta Ads,Instagram,4,4,Licence,Licence,Français (avancé); Anglais (avancé),Français (avancé),49.2
Content Manager,Copywriting; SEO; Content Strategy; Analytics; Canva; WordPress,Analytics; Canva; WordPress; SEO; Copywriting; Content Strategy,1,4,Bac,Bac,Français (avancé),Français (avancé),100.0
Data Analyst,Data Visualization; Excel; Python; SQL; Pandas,SQL; Pandas; Python; Excel,2,3,Licence,Bac,Anglais (courant),Français (courant); Anglais (débutant),81.5
Data Analyst,Pandas; Excel; Power BI,HTML/CSS; Gestion de projet,1,7,Bac,Bac,Anglais (intermédiaire); Français (courant),Français (avancé),40.0
UI/UX Designer,UX Research; Illustrator; Adobe XD; Prototypage,UX Research; Photoshop; Illustrator,4,3,Bac,Bac,Anglais (avancé),Français (avancé); Anglais (avancé),67.5
Developpeur Web,JavaScript; Laravel; PHP; Git,MySQL; PHP; Laravel; Git; HTML/CSS; JavaScript,1,5,Bac,Master,Français (courant),Français (courant); Anglais (intermédiaire),100.0
Chef de projet digital,Scrum; Agile; Gestion de projet; Asana; Communication; ClickUp,Aucune information,4,5,Licence,Bac,Français (avancé); Anglais (débutant),Français (avancé); Anglais (débutant),37.5
Chef de projet digital,ClickUp; Scrum; Asana; Gestion de projet,Gestion de projet; Agile; Communication; ClickUp; Asana,2,7,Bac,Bac,Français (intermédiaire); Anglais (avancé),Français (intermédiaire),81.3
SEO/SEA,SEM; Google Analytics; Search Console,Google Ads; SEO,3,4,Licence,Bac,Français (avancé); Anglais (avancé),Français (courant),32.5
Content Manager,Content Strategy; Analytics; SEO; WordPress; Copywriting; Canva,WordPress; Content Strategy; SEO,1,0,Master,Master,Français (avancé),Français (courant); Anglais (intermédiaire),52.5
Data Analyst,Excel; SQL; Data Visualization; Python; Pandas,Python; Data Visualization; Power BI; Excel; Pandas; SQL,4,4,Bac,Bac,Anglais (avancé); Français (intermédiaire),Français (intermédiaire),95.0
Graphiste,InDesign; Illustrator; Canva; Typographie; Branding,InDesign,1,5,Master,Master,Français (avancé),Français (courant),56.0
Community Manager,Analytics; TikTok; Instagram; Copywriting,Aucune information,3,6,Master,Licence,Anglais (débutant); Français (courant),Français (avancé); Anglais (débutant),37.5
UI/UX Designer,Adobe XD; Illustrator; Prototypage; Photoshop; Figma,Photoshop; Prototypage; Adobe XD; Illustrator; Figma; UX Research,1,6,Bac,Bac,Français (intermédiaire),Français (avancé),100.0
Graphiste,InDesign; Branding; Canva,Photoshop; Illustrator; InDesign,2,3,Bac,Master,Français (avancé),Français (intermédiaire),63.3
UI/UX Designer,Illustrator; Figma; UX Research,Adobe XD; UX Research; Figma; Photoshop; Illustrator; Prototypage,2,6,Bac,Bac,Anglais (avancé); Français (courant),Français (courant),95.0
Data Analyst,Data Visualization; Pandas; Excel; Python; Power BI; SQL,Power BI; Excel; Pandas; SQL,2,1,Master,Licence,Français (avancé); Anglais (avancé),Français (avancé),59.2
Developpeur Web,PHP; JavaScript; Laravel; Git; MySQL; HTML/CSS,MySQL; Git; HTML/CSS; Laravel,3,4,Master,Bac,Français (courant); Anglais (intermédiaire),Français (intermédiaire); Anglais (débutant),74.2
UI/UX Designer,Illustrator; Prototypage; Figma; Adobe XD; Photoshop,UX Research; Adobe XD; Illustrator,2,6,Licence,Master,Anglais (débutant); Français (intermédiaire),Français (intermédiaire); Anglais (avancé),67.0
Data Analyst,Python; SQL; Excel; Data Visualization; Power BI,Pandas; Python; Power BI,2,3,Bac,Master,Français (avancé),Français (avancé),67.0
Graphiste,Typographie; Photoshop; Branding; Illustrator,Illustrator; Photoshop; Canva; Branding,2,5,Bac,Master,Français (courant),Français (courant),86.2
Social Media Manager,Meta Ads; Analytics; LinkedIn; TikTok; Instagram; Facebook,Meta Ads; LinkedIn; Instagram; Analytics; TikTok; Facebook,4,1,Licence,Licence,Français (courant); Anglais (intermédiaire),Français (courant); Anglais (intermédiaire),85.0
UI/UX Designer,Adobe XD; Illustrator; UX Research; Photoshop,Illustrator; UX Research; Figma; Prototypage,2,3,Bac,Master,Anglais (débutant); Français (avancé),Français (intermédiaire),67.5
Content Manager,Canva; WordPress; Copywriting; SEO; Analytics; Content Strategy,Canva; WordPress; Analytics,2,5,Licence,Licence,Anglais (débutant),Français (intermédiaire),62.5
UI/UX Designer,Illustrator; Prototypage; Figma,Figma,1,2,Master,Bac,Français (intermédiaire); Anglais (débutant),Français (intermédiaire); Anglais (courant),55.8
SEO/SEA,SEM; Google Analytics; SEO; Google Ads; Search Console,Search Console; SEO; Keyword Research; SEM; Google Analytics; Google Ads,1,1,Licence,Bac,Français (courant),Français (intermédiaire); Anglais (intermédiaire),92.5
Graphiste,Typographie; InDesign; Branding; Photoshop; Canva; Illustrator,Typographie; Canva; Branding; InDesign; Excel; Analytics,3,5,Bac,Bac,Français (avancé),Français (courant),81.7
Community Manager,Copywriting; Facebook; TikTok,Aucune information,4,6,Master,Licence,Français (courant); Anglais (courant),Français (courant); Anglais (avancé),37.5
Chef de projet digital,ClickUp; Scrum; Asana; Communication,Scrum; Agile; Asana; Communication; Gestion de projet; ClickUp,4,6,Licence,Licence,Anglais (débutant); Français (avancé),Français (avancé); Anglais (courant),100.0
Chef de projet digital,Asana; Communication; Gestion de projet; Scrum,Instagram,3,8,Master,Bac,Français (intermédiaire),Français (courant),37.5
Developpeur Web,MySQL; Laravel; Git,HTML/CSS; JavaScript; MySQL,2,3,Licence,Licence,Anglais (intermédiaire); Français (intermédiaire),Français (courant); Anglais (avancé),63.3
Graphiste,Photoshop; Branding; Illustrator; Typographie; InDesign,Illustrator; InDesign; Typographie; Canva; Photoshop; Branding; Firebase; UX Research,4,0,Licence,Bac,Français (intermédiaire),Français (courant),72.5
UI/UX Designer,Figma; UX Research; Photoshop; Adobe XD; Illustrator; Prototypage,Illustrator; Figma; Prototypage; Adobe XD; Photoshop; UX Research,3,5,Bac,Bac,Anglais (avancé),Français (avancé); Anglais (débutant),100.0
Developpeur Mobile,Flutter; Java; Git; Firebase,Java; Git,2,4,Master,Bac,Anglais (débutant); Français (intermédiaire),Français (courant); Anglais (intermédiaire),65.0
Graphiste,InDesign; Photoshop; Illustrator; Branding,Aucune information,2,5,Master,Master,Français (intermédiaire),Français (intermédiaire),45.0
Developpeur Web,MySQL; HTML/CSS; Git; PHP,Aucune information,2,5,Licence,Bac,Anglais (débutant),Français (avancé),27.5
Developpeur Web,MySQL; JavaScript; HTML/CSS; Laravel,JavaScript; Git; HTML/CSS; PHP,1,3,Licence,Master,Anglais (intermédiaire); Français (avancé),Français (courant); Anglais (courant),72.5
