poste,competences_requises,competences_candidat,experience_requise,experience_candidat,diplome_requis,diplome_candidat,langues_requises,langues_candidat,score_compatibilite
Developpeur Mobile,Kotlin; Firebase; Dart,Git; Flutter; Java; Kotlin; Asana; Laravel,2,4,Bac,Bac,Français,Français,63.3
Graphiste,Branding; InDesign; Photoshop; Canva; Illustrator; Typographie,Aucune information,3,2,Bac,Licence,Français,Français,38.3
Developpeur Web,JavaScript; PHP; Git; HTML/CSS; Laravel; MySQL,Laravel; MySQL; PHP; Git; JavaScript,2,3,Master,Master,Français,Français,90.8
Social Media Manager,Analytics; TikTok; Facebook; Meta Ads,LinkedIn; TikTok; Instagram,2,6,Master,Bac,Français,Français; Anglais,51.3
Social Media Manager,TikTok; Facebook; Instagram; Analytics; LinkedIn; Meta Ads,Instagram,4,4,Licence,Licence,Français; Anglais,Français,49.2
Content Manager,Copywriting; SEO; Content Strategy; Analytics; Canva; WordPress,Analytics; Canva; WordPress; SEO; Copywriting; Content Strategy,1,4,Bac,Bac,Français,Français,100.0
Data Analyst,Data Visualization; Excel; Python; SQL; Pandas,SQL; Pandas; Python; Excel,2,3,Licence,Bac,Anglais,Français; Anglais,81.5
Data Analyst,Pandas; Excel; Power BI,HTML/CSS; Gestion de projet,1,7,Bac,Bac,Anglais; Français,Français,40.0
UI/UX Designer,UX Research; Illustrator; Adobe XD; Prototypage,UX Research; Photoshop; Illustrator,4,3,Bac,Bac,Anglais,Français; Anglais,67.5
Developpeur Web,JavaScript; Laravel; PHP; Git,MySQL; PHP; Laravel; Git; HTML/CSS; JavaScript,1,5,Bac,Master,Français,Français; Anglais,100.0
Chef de projet digital,Scrum; Agile; Gestion de projet; Asana; Communication; ClickUp,Aucune information,4,5,Licence,Bac,Français; Anglais,Français; Anglais,37.5
Chef de projet digital,ClickUp; Scrum; Asana; Gestion de projet,Gestion de projet; Agile; Communication; ClickUp; Asana,2,7,Bac,Bac,Français; Anglais,Français,81.3
SEO/SEA,SEM; Google Analytics; Search Console,Google Ads; SEO,3,4,Licence,Bac,Français; Anglais,Français,32.5
Content Manager,Content Strategy; Analytics; SEO; WordPress; Copywriting; Canva,WordPress; Content Strategy; SEO,1,0,Master,Master,Français,Français; Anglais,52.5
Data Analyst,Excel; SQL; Data Visualization; Python; Pandas,Python; Data Visualization; Power BI; Excel; Pandas; SQL,4,4,Bac,Bac,Anglais; Français,Français,95.0
Graphiste,InDesign; Illustrator; Canva; Typographie; Branding,InDesign,1,5,Master,Master,Français,Français,56.0
Community Manager,Analytics; TikTok; Instagram; Copywriting,Aucune information,3,6,Master,Licence,Anglais; Français,Français; Anglais,37.5
UI/UX Designer,Adobe XD; Illustrator; Prototypage; Photoshop; Figma,Photoshop; Prototypage; Adobe XD; Illustrator; Figma; UX Research,1,6,Bac,Bac,Français,Français,100.0
Graphiste,InDesign; Branding; Canva,Photoshop; Illustrator; InDesign,2,3,Bac,Master,Français,Français,63.3
UI/UX Designer,Illustrator; Figma; UX Research,Adobe XD; UX Research; Figma; Photoshop; Illustrator; Prototypage,2,6,Bac,Bac,Anglais; Français,Français,95.0
Data Analyst,Data Visualization; Pandas; Excel; Python; Power BI; SQL,Power BI; Excel; Pandas; SQL,2,1,Master,Licence,Français; Anglais,Français,59.2
Developpeur Web,PHP; JavaScript; Laravel; Git; MySQL; HTML/CSS,MySQL; Git; HTML/CSS; Laravel,3,4,Master,Bac,Français; Anglais,Français; Anglais,74.2
