poste,competences_requises,competences_candidat,experience_requise,experience_candidat,diplome_requis,diplome_candidat,langues_requises,langues_candidat,score_compatibilite,taux_competences,taux_experience,taux_diplome,taux_langues,poids_competences,poids_experience,poids_diplome,poids_langues
Developpeur Mobile,Kotlin; Firebase; Dart,Git; Flutter; Java; Kotlin; Asana; Laravel,2,4,Bac,Bac,Français (intermédiaire),Français (avancé),56.0,0.3333333333333333,1.0,1.0,1.0,0.66,0.07,0.1,0.17
Graphiste,Branding; InDesign; Photoshop; Canva; Illustrator; Typographie,Aucune information,3,2,Bac,Licence,Français (avancé),Français (courant),42.6,0.0,0.6666666666666666,1.2,1.0,0.49,0.33,0.13,0.05
Developpeur Web,JavaScript; PHP; Git; HTML/CSS; Laravel; MySQL,Laravel; MySQL; PHP; Git; JavaScript,2,3,Master,Master,Français (avancé),Français (courant),95.0,0.8333333333333334,1.0,1.0,1.0,0.3,0.52,0.12,0.06
Social Media Manager,Analytics; TikTok; Facebook; Meta Ads,LinkedIn; TikTok; Instagram,2,6,Master,Bac,Français (courant),Français (courant); Anglais (intermédiaire),34.67,0.25,1.0,0.3333333333333333,1.0,0.8,0.07,0.08,0.05
Social Media Manager,TikTok; Facebook; Instagram; Analytics; LinkedIn; Meta Ads,Instagram,4,4,Licence,Licence,Français (avancé); Anglais (avancé),Français (avancé),31.67,0.16666666666666666,1.0,1.0,0.5,0.7,0.05,0.05,0.2
Content Manager,Copywriting; SEO; Content Strategy; Analytics; Canva; WordPress,Analytics; Canva; WordPress; SEO; Copywriting; Content Strategy,1,4,Bac,Bac,Français (avancé),Français (avancé),100.0,1.0,1.0,1.0,1.0,0.65,0.15,0.11,0.09
Data Analyst,Data Visualization; Excel; Python; SQL; Pandas,SQL; Pandas; Python; Excel,2,3,Licence,Bac,Anglais (courant),Français (courant); Anglais (débutant),58.7,0.8,1.0,0.5,0.25,0.09,0.24,0.43,0.24
Data Analyst,Pandas; Excel; Power BI,HTML/CSS; Gestion de projet,1,7,Bac,Bac,Anglais (intermédiaire); Français (courant),Français (avancé),45.0,0.0,1.0,1.0,0.375,0.5,0.37,0.05,0.08
UI/UX Designer,UX Research; Illustrator; Adobe XD; Prototypage,UX Research; Photoshop; Illustrator,4,3,Bac,Bac,Anglais (avancé),Français (avancé); Anglais (avancé),61.0,0.5,0.75,1.0,1.0,0.75,0.06,0.07,0.12
Developpeur Web,JavaScript; Laravel; PHP; Git,MySQL; PHP; Laravel; Git; HTML/CSS; JavaScript,1,5,Bac,Master,Français (courant),Français (courant); Anglais (intermédiaire),103.4,1.0,1.0,1.2,1.0,0.55,0.23,0.17,0.05
Chef de projet digital,Scrum; Agile; Gestion de projet; Asana; Communication; ClickUp,Aucune information,4,5,Licence,Bac,Français (avancé); Anglais (débutant),Français (avancé); Anglais (débutant),77.0,0.0,1.0,0.5,1.0,0.09,0.44,0.28,0.19
Chef de projet digital,ClickUp; Scrum; Asana; Gestion de projet,Gestion de projet; Agile; Communication; ClickUp; Asana,2,7,Bac,Bac,Français (intermédiaire); Anglais (avancé),Français (intermédiaire),75.25,0.75,1.0,1.0,0.5,0.63,0.13,0.06,0.18
SEO/SEA,SEM; Google Analytics; Search Console,Google Ads; SEO,3,4,Licence,Bac,Français (avancé); Anglais (avancé),Français (courant),12.5,0.0,1.0,0.5,0.5,0.82,0.07,0.05,0.06
Content Manager,Content Strategy; Analytics; SEO; WordPress; Copywriting; Canva,WordPress; Content Strategy; SEO,1,0,Master,Master,Français (avancé),Français (courant); Anglais (intermédiaire),54.0,0.5,0.0,1.0,1.0,0.76,0.08,0.1,0.06
Data Analyst,Excel; SQL; Data Visualization; Python; Pandas,Python; Data Visualization; Power BI; Excel; Pandas; SQL,4,4,Bac,Bac,Anglais (avancé); Français (intermédiaire),Français (intermédiaire),95.5,1.0,1.0,1.0,0.5,0.34,0.42,0.15,0.09
Graphiste,InDesign; Illustrator; Canva; Typographie; Branding,InDesign,1,5,Master,Master,Français (avancé),Français (courant),49.6,0.2,1.0,1.0,1.0,0.63,0.09,0.06,0.22
Community Manager,Analytics; TikTok; Instagram; Copywriting,Aucune information,3,6,Master,Licence,Anglais (débutant); Français (courant),Français (avancé); Anglais (débutant),79.12,0.0,1.0,0.6666666666666666,0.875,0.08,0.44,0.33,0.15
UI/UX Designer,Adobe XD; Illustrator; Prototypage; Photoshop; Figma,Photoshop; Prototypage; Adobe XD; Illustrator; Figma; UX Research,1,6,Bac,Bac,Français (intermédiaire),Français (avancé),100.0,1.0,1.0,1.0,1.0,0.27,0.09,0.36,0.28
Graphiste,InDesign; Branding; Canva,Photoshop; Illustrator; InDesign,2,3,Bac,Master,Français (avancé),Français (intermédiaire),70.4,0.3333333333333333,1.0,1.2,0.6666666666666666,0.39,0.31,0.12,0.18
UI/UX Designer,Illustrator; Figma; UX Research,Adobe XD; UX Research; Figma; Photoshop; Illustrator; Prototypage,2,6,Bac,Bac,Anglais (avancé); Français (courant),Français (courant),97.0,1.0,1.0,1.0,0.5,0.24,0.63,0.07,0.06
Data Analyst,Data Visualization; Pandas; Excel; Python; Power BI; SQL,Power BI; Excel; Pandas; SQL,2,1,Master,Licence,Français (avancé); Anglais (avancé),Français (avancé),62.17,0.6666666666666666,0.5,0.6666666666666666,0.5,0.45,0.1,0.28,0.17
Developpeur Web,PHP; JavaScript; Laravel; Git; MySQL; HTML/CSS,MySQL; Git; HTML/CSS; Laravel,3,4,Master,Bac,Français (courant); Anglais (intermédiaire),Français (intermédiaire); Anglais (débutant),84.17,0.6666666666666666,1.0,0.3333333333333333,0.5,0.25,0.62,0.06,0.07
UI/UX Designer,Illustrator; Prototypage; Figma; Adobe XD; Photoshop,UX Research; Adobe XD; Illustrator,2,6,Licence,Master,Anglais (débutant); Français (intermédiaire),Français (intermédiaire); Anglais (avancé),78.8,0.4,1.0,1.2,1.0,0.43,0.27,0.23,0.07
Data Analyst,Python; SQL; Excel; Data Visualization; Power BI,Pandas; Python; Power BI,2,3,Bac,Master,Français (avancé),Français (avancé),53.2,0.4,1.0,1.2,1.0,0.8,0.09,0.06,0.05
Graphiste,Typographie; Photoshop; Branding; Illustrator,Illustrator; Photoshop; Canva; Branding,2,5,Bac,Master,Français (courant),Français (courant),88.9,0.75,1.0,1.2,1.0,0.5,0.08,0.07,0.35
Social Media Manager,Meta Ads; Analytics; LinkedIn; TikTok; Instagram; Facebook,Meta Ads; LinkedIn; Instagram; Analytics; TikTok; Facebook,4,1,Licence,Licence,Français (courant); Anglais (intermédiaire),Français (courant); Anglais (intermédiaire),91.0,1.0,0.25,1.0,1.0,0.66,0.12,0.08,0.14
UI/UX Designer,Adobe XD; Illustrator; UX Research; Photoshop,Illustrator; UX Research; Figma; Prototypage,2,3,Bac,Master,Anglais (débutant); Français (avancé),Français (intermédiaire),56.53,0.5,1.0,1.2,0.3333333333333333,0.8,0.07,0.06,0.07
Content Manager,Canva; WordPress; Copywriting; SEO; Analytics; Content Strategy,Canva; WordPress; Analytics,2,5,Licence,Licence,Anglais (débutant),Français (intermédiaire),80.5,0.5,1.0,1.0,0.0,0.11,0.62,0.13,0.14
UI/UX Designer,Illustrator; Prototypage; Figma,Figma,1,2,Master,Bac,Français (intermédiaire); Anglais (débutant),Français (intermédiaire); Anglais (courant),65.33,0.3333333333333333,1.0,0.3333333333333333,1.0,0.05,0.18,0.47,0.3
SEO/SEA,SEM; Google Analytics; SEO; Google Ads; Search Console,Search Console; SEO; Keyword Research; SEM; Google Analytics; Google Ads,1,1,Licence,Bac,Français (courant),Français (intermédiaire); Anglais (intermédiaire),94.5,1.0,1.0,0.5,0.5,0.65,0.24,0.06,0.05
Graphiste,Typographie; InDesign; Branding; Photoshop; Canva; Illustrator,Typographie; Canva; Branding; InDesign; Excel; Analytics,3,5,Bac,Bac,Français (avancé),Français (courant),98.33,0.6666666666666666,1.0,1.0,1.0,0.05,0.45,0.27,0.23
Community Manager,Copywriting; Facebook; TikTok,Aucune information,4,6,Master,Licence,Français (courant); Anglais (courant),Français (courant); Anglais (avancé),17.71,0.0,1.0,0.6666666666666666,0.875,0.8,0.1,0.05,0.05
Chef de projet digital,ClickUp; Scrum; Asana; Communication,Scrum; Agile; Asana; Communication; Gestion de projet; ClickUp,4,6,Licence,Licence,Anglais (débutant); Français (avancé),Français (avancé); Anglais (courant),100.0,1.0,1.0,1.0,1.0,0.37,0.17,0.17,0.29
Chef de projet digital,Asana; Communication; Gestion de projet; Scrum,Instagram,3,8,Master,Bac,Français (intermédiaire),Français (courant),68.0,0.0,1.0,0.3333333333333333,1.0,0.22,0.1,0.15,0.53
Developpeur Web,MySQL; Laravel; Git,HTML/CSS; JavaScript; MySQL,2,3,Licence,Licence,Anglais (intermédiaire); Français (intermédiaire),Français (courant); Anglais (avancé),43.33,0.3333333333333333,1.0,1.0,1.0,0.85,0.05,0.05,0.05
Graphiste,Photoshop; Branding; Illustrator; Typographie; InDesign,Illustrator; InDesign; Typographie; Canva; Photoshop; Branding; Firebase; UX Research,4,0,Licence,Bac,Français (intermédiaire),Français (courant),66.0,1.0,0.0,0.5,1.0,0.4,0.15,0.38,0.07
